UniqueID,1_1,1_2,1_3,1_4,1_5,2_1,2_2,2_3,2_4,2_5,3_1,3_2,3_3,3_4,3_5,3_6,3_7,4_1,4_2,4_3,4_4,4_5,5_1,5_2,5_3,5_4,5_5,6_1,6_2,6_3,6_4,6_5,6_6,7_1,7_2,7_3,7_4,7_5,7_6,Stub,CONCEPT,DOMAIN
B01001_003,96.21912086953083,100.5627812738368,134.04063305152138,116.69361718280302,93.77463228877488,105.36481786282967,47.33497417789938,20.66868914561902,71.30539427387949,86.84977740529514,93.58720764813057,87.04254301195044,88.16222525613725,108.44995128645249,92.99973193703292,43.28273638482124,81.17904758760243,80.13197496467616,120.38765249517598,86.57537641503484,94.97121736190113,90.83132969742208,82.01828113858942,106.65365358640099,94.99898162468796,42.28355574497035,90.25140099932464,129.98123241741527,108.78488546271036,114.49801902532046,117.23284852467528,87.22614070335665,117.19617833320567,121.76710810876597,117.92898505251968,170.2728776980023,118.64105797895617,135.9138495922841,100.18707025632673,Under 5 years,POP,Family
B01001_004,94.07798632554538,101.8117296850443,130.6431822747134,123.04763999140577,95.29016310711773,76.02492439585293,36.02433433230126,14.6415548156596,37.5773926180212,56.76157269523882,97.06629183802562,92.31726429234307,93.33693617082082,110.36418365516023,102.33281621831335,45.004021012911366,89.26578227809459,93.39513671380874,132.59107432550283,95.30188386814588,104.57439107844937,121.78224785720954,84.15335645567562,102.01081012166465,82.39336908158515,41.94688576283916,83.08478665639079,130.10490071276496,104.84405283886001,112.97016634375166,113.97533523701817,84.54578519095412,114.69318852419799,109.90586165986942,108.14039919938512,142.26877089882325,111.70589847509585,139.19677387051152,88.88283918868433,5 to 9 years,POP,Family
B01001_005,97.82024224830985,103.63013262680563,130.08062611274354,129.85333786632526,92.40374755992218,59.84280961604965,29.779105167792096,11.75854522269812,26.482345814884027,48.15228157194257,96.52119765206696,94.70679126378224,96.8884717453951,112.7873755373318,106.20618128651425,50.331847041998714,96.17272983546744,105.03356942188789,135.54288407212104,103.61161239604147,109.30152548481462,143.94161797147865,88.40514569379346,98.48176188354127,79.56538795434183,46.96084315205697,80.66192028256204,131.63663845265518,99.23405957454173,114.81963520488519,106.61334149457686,79.4534937868955,109.76287406155276,98.75177217642083,102.92655774822335,112.83122309406748,103.35628232097945,135.22506687377017,78.92805583372932,10 to 14 years,POP,Family
B01001_006,101.49325826955766,106.08850406685701,122.51682248451286,127.63685329251051,95.02809275305071,56.31119382726324,28.079830036570502,21.927032810386642,23.610603197814783,41.809398540275566,100.16877176944823,100.33060313515605,99.24454327699348,111.27951791922037,109.26264913369252,55.10916349454258,102.50052307377781,112.02190849935887,129.43335500665663,111.76824184114551,113.20465653937772,150.30397106760734,94.37909452313897,96.70292147360037,77.76861477598135,54.24853442666523,82.72612081928087,122.09174359527736,101.35859631316197,111.26388182485336,103.68275605071236,80.13049346299404,101.50060998865067,90.68383099509495,99.27692639033778,94.91286680301123,98.32398536744519,127.70401570942609,70.97240751506398,15 to 17 years,POP,Family
B01001_007,98.98884238515933,92.77539948488884,113.90878478279436,121.72398492875678,93.70392595516172,65.89802842902701,61.85714082595257,959.3663615736785,52.46373136196889,55.37353759826134,85.61727236295188,81.56886513394264,93.29008347727348,98.03895381167051,87.53558568817532,55.051418508308544,84.09248010313398,84.4567778371352,95.25698767630443,85.42627962531391,94.35384287630252,102.46337598935472,86.14498811815257,79.13740993328253,82.66631789227426,46.352531860334864,90.25487726454719,122.30196993458758,102.99381099688422,105.83176829876804,108.55112428379958,132.58015760352714,120.88446974404351,95.26435557145622,92.19169251616087,104.17658603496396,92.39124055173004,123.15876646728663,113.63692874339064,18 and 19 years,POP,Family
B01001_008,99.3199816924789,88.37328946446678,120.31862446698224,124.56388341624674,91.19992954098457,95.79719022694343,86.29417706879758,1024.5326376048772,62.17665813684194,61.79505174039949,76.832235053455,76.50455707975901,91.53415100319577,97.0324616686504,81.62532319391211,55.42987643691434,76.56520184596312,72.24243137798548,80.84657217631138,74.37308221534174,69.5567122330397,76.57145696542938,82.02048764035956,86.26762337215587,82.2479712737174,43.90234466790797,102.10421984867119,112.40907926754564,112.59971054215418,106.4302472162853,109.65516419844236,151.4598937699723,113.19797138780162,116.08003568958058,96.5772916196505,127.95422527166357,95.56253681690883,119.5707365824986,132.13853545357705,20 years,POP,Family
B01001_009,100.7588606891426,86.81953826599111,115.4346301305261,123.50450345599509,89.85228700036883,108.97502231295853,105.33620324963697,920.0201168011748,66.77682924796672,71.88149434902708,79.1328475194307,76.17699603858749,87.5697346304043,92.87097774965696,78.27847857986946,55.54511086574519,73.05481548278098,69.50882604030474,75.8936376881143,71.22289869294387,68.03918510398778,67.85378981994813,80.11545114769228,87.22872853452583,85.54721417034054,49.30699219372577,108.28061059303519,116.02447184476796,117.8255167780318,105.41188507545296,104.99687333229343,158.10381233023134,113.06015839550278,126.68028508740277,100.4025496554978,145.86069415055653,104.22544413322328,122.0571883545006,135.06181298399187,21 years,POP,Family
B01001_010,100.50136745010587,91.72208060991346,110.00635276875185,115.81203384397081,87.43543470235822,183.5064988667681,152.96876444849298,445.069872851902,159.13455577203655,122.43916823738272,82.8852650450479,74.56520757750744,92.02942871250833,95.17525181110817,77.84720825598099,56.8025381335798,74.16121588011217,69.34607156126266,71.36130431902743,73.4491235617766,72.07705612808091,68.68914257884646,80.21834234278002,104.80706095096028,94.66649612961248,52.50855139193382,110.08604572314744,113.0001450941194,112.87302863389144,102.42835303061588,105.23951410444727,127.82215015323943,96.44589299222974,133.2109662083842,102.1714131078811,145.62989110288058,114.47654702179241,119.0658201418551,124.46266870445977,22 to 24 years,POP,Family
B01001_011,103.35224993573597,95.4733162771895,107.65575914072167,108.85018490204689,99.19026470177775,229.64387925278083,190.440097886623,142.7273896414238,267.0056937984022,203.38765752262478,81.1394728107527,74.65560242308455,94.3730314408791,92.37102180707353,79.19303657958307,54.718579746299554,69.00467513939044,58.279212331504894,69.70261162954378,64.64760029944331,55.9191679990366,43.62476803319138,78.30785326811804,115.24345707773674,117.33200043012688,54.46838892082786,109.40199568918807,108.21746074989362,116.99500155855227,106.33453399041319,105.53496740091927,106.29119772325373,93.45446319358243,138.74055882089186,118.30170759764935,152.7700984643938,125.4080873143905,113.20944299181728,118.8841101916774,25 to 29 years,POP,Family
B01001_012,104.74742893363013,100.31272624916599,118.53969320229254,107.57490284579904,100.61812513997978,193.65102038176906,165.88708161454755,64.18134979313132,257.12957917678153,197.21842336998253,83.19125389557527,75.9271305046091,89.36456582357879,95.69825433160663,87.16938420771702,52.07214492245873,76.04303787646244,68.43134829763363,92.4627583724921,73.89947444245354,67.14287696611491,52.11167203998613,86.37529865054775,113.91372742356916,127.92907558972276,54.34171357100309,103.51079163545374,104.62409856654628,111.11022089340416,92.064480744146735,96.34491462044201,92.9681075930304,80.91882003322915,124.80830461314821,109.02876445134177,127.76854732347616,127.90758076374314,110.62265592271736,106.56916381110307,30 to 34 years,POP,Family
