UniqueID,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,Stub
B01001_003,98.39527911742651,121.39862382290883,86.9320383435683,105.46985714776054,107.75629696471908,133.7124573895859,87.21684391310427,91.57248610152017,94.27099146982502,89.8521130037294,Under 5 years
B01001_004,95.77143880486861,119.63145685014463,104.42380303603238,112.47629363880588,89.82710603913675,132.91745958765125,94.04134529407698,90.77257740953671,88.82340801047181,70.63257181089315,5 to 9 years
B01001_005,91.16577965079313,113.26492007221543,117.89379050287691,118.53330700663889,77.84461415501089,128.60182364444853,98.05389809243525,90.9793700263871,86.43586666018409,63.42424524273077,10 to 14 years
B01001_006,91.33812671799791,107.42061634577166,123.62353580984168,118.96954761562546,72.09463076430232,121.45565578453107,102.07480806181435,95.21714956980568,86.08743563018344,60.134575704624346,15 to 17 years
B01001_007,98.59957295486973,111.5200312882648,89.65176226865069,91.37961733057328,160.1280180177138,113.32686127586709,83.10708596085752,94.10102806890191,80.23255055719834,84.00982336239342,18 and 19 years
B01001_008,104.39691631817887,112.11433662472486,67.66217884885212,85.19439592914063,191.7813170927162,116.93305682229604,79.69599286334373,90.31726028508518,89.13092065590604,86.929615454484,20 years
B01001_009,111.36818838767147,108.54628110537199,66.4807695357924,80.00478811175029,199.67185596373434,116.7689218149223,77.23782615764459,91.25762265853942,91.35969169952466,91.53750277051661,21 years
B01001_010,107.10724618456804,103.06727848526171,69.60147087057653,80.10083501656958,172.35483854965176,115.1137013416526,79.44861991780353,89.71518739568492,104.45046419162216,112.01366161577297,22 to 24 years
B01001_011,103.30629826019968,101.01991457579096,51.87669893516087,79.95990200386105,157.54387480431942,113.05026009303528,77.77081507555623,95.19046551538575,109.67064083039273,160.86304988614435,25 to 29 years
B01001_012,97.26332203324529,88.08435703918123,61.16698503142614,92.59505081087221,132.5960210815997,110.90647515958918,81.48594452570391,98.90699998981705,106.89112729653971,161.10943059428072,30 to 34 years
B01001_013,94.95963021335083,84.04671958362292,84.70051927287241,105.3698118535616,105.36271716876391,107.30741987315919,89.04097405134709,99.98019968398924,101.29123357849754,131.6664125307504,35 to 39 years
B01001_014,89.83274140162548,83.07825137883961,104.98214720156716,112.21606937251336,91.72309226022936,105.74429182672098,95.62980878230083,97.7851779915015,96.05109125430874,111.18886421112492,40 to 44 years
B01001_015,90.86805893802016,81.69323672791765,119.37060291989177,112.30661784668581,81.55320004315426,95.56518362996383,102.70298700513302,100.6766200779698,94.26155411755553,101.11016718021746,45 to 49 years
B01001_016,94.42990527406565,87.16032069012759,124.30225288339408,106.277414930422,77.05167633928667,88.8700064590402,111.9982327421263,104.6395610233366,91.61099284477837,93.94160016324606,50 to 54 years
B01001_017,100.65769030274294,89.52145750968253,123.62767252710239,102.02077730093471,72.09704721078289,78.80094885629724,119.8041634439758,108.65182066533556,93.3944723355023,88.25125517739126,55 to 59 years
B01001_018,103.93519781295875,89.99449120140036,122.58821343110802,97.33194865268284,70.4481148209943,75.36463776643404,124.69757764281553,110.697190135267,94.70910198145728,87.30388782249281,60 and 61 years
B01001_019,104.94007424853923,87.53803076121945,120.84369761049423,96.84846722617442,69.07361375976629,70.12111837578128,129.29041827441353,112.26933532804864,95.21732861382867,86.15872472668545,62 to 64 years
B01001_020,105.6082269679074,81.48456036998037,119.69496695446018,95.91753970920458,66.31176219034319,66.2763702381419,133.99431432993214,109.41489931356303,99.63712802181078,85.4619375516226,65 and 66 years
B01001_021,104.97221527014796,76.88141939915833,121.60855111491624,97.33294212435331,61.41687893973346,61.88964540646066,137.90094223265748,108.76769251085724,101.74885605866619,82.75034514880737,67 to 69 years
B01001_022,104.21977278108912,72.22395052635852,122.53583225246136,95.19216774420724,58.77568150356096,60.16997095930591,142.6549798914291,106.92054175870527,105.60456526040092,79.00931179126533,70 to 74 years
B01001_023,108.66192915284951,70.16053991286952,117.56241419134209,88.18378126604894,58.942299909979646,59.86586310538273,146.32328584833203,109.51083538010138,110.89812125045846,75.06539530718123,75 to 79 years
B01001_024,116.46523769102303,70.25182047956305,111.65006014877437,78.92139944264493,63.211085959833866,59.19221582431366,137.0329354817699,117.50679329601891,122.9290058404372,78.68874427727994,80 to 84 years
B01001_025,133.13498406835913,67.45005551900792,106.22228021926163,64.55604813058451,76.66596789563633,57.095029476205596,111.86676811498938,126.65177770113687,146.7976198905698,88.25571143139919,85 years and over
B01001_027,98.6492141287913,123.9205935111507,85.85714537965411,104.46435348177863,109.3566595012194,134.53815090967464,86.82557523312173,91.4820446018476,94.05263112615225,90.05312752681716,Under 5 years
B01001_028,94.9807841770007,121.07828677705814,103.85041595582416,113.7084299184225,90.79714731031517,132.05080849393175,92.43439881015875,89.86911103684865,90.14472610643556,70.7863248154717,5 to 9 years
B01001_029,91.014268929195,114.88863617625427,116.95959087710628,118.8710312148969,77.698162985164,128.49986111935053,97.50405845803247,91.97413723732788,86.15724615743602,64.02788710265638,10 to 14 years
B01001_030,89.92417471582647,111.44733297178998,124.96898100841314,119.62387668595412,73.88873769482453,122.5555660182377,99.30923524661569,94.78065011692316,85.88139402401792,60.07683004233895,15 to 17 years
B01001_031,98.82748315305163,115.31507367595096,86.25779375006537,86.07968521256099,188.59063073607206,107.70960426302271,74.7404099083448,91.62637986909613,79.23063659289171,94.24601413687543,18 and 19 years
B01001_032,108.49730559484199,116.5514237480465,66.2256250572192,77.88854149821502,219.596183631956,112.8370191715639,72.5986549028649,84.51117983238615,90.39778537069327,98.90267595153752,20 years
