UniqueID,V1,V2,V3,V4,V5,V6,V7,Stub,CONCEPT,DOMAIN
B01001_003,96.21912086953083,100.5627812738368,134.04063305152138,116.69361718280302,93.77463228877488,105.36481786282967,47.33497417789938,Under 5 years,POP,Family
B01001_004,94.07798632554538,101.8117296850443,130.6431822747134,123.04763999140577,95.29016310711773,76.02492439585293,36.02433433230126,5 to 9 years,POP,Family
B01001_005,97.82024224830985,103.63013262680563,130.08062611274354,129.85333786632526,92.40374755992218,59.84280961604965,29.779105167792096,10 to 14 years,POP,Family
B01001_006,101.49325826955766,106.08850406685701,122.51682248451286,127.63685329251051,95.02809275305071,56.31119382726324,28.079830036570502,15 to 17 years,POP,Family
B01001_007,98.98884238515933,92.77539948488884,113.90878478279436,121.72398492875678,93.70392595516172,65.89802842902701,61.85714082595257,18 and 19 years,POP,Family
B01001_008,99.3199816924789,88.37328946446678,120.31862446698224,124.56388341624674,91.19992954098457,95.79719022694343,86.29417706879758,20 years,POP,Family
B01001_009,100.7588606891426,86.81953826599111,115.4346301305261,123.50450345599509,89.85228700036883,108.97502231295853,105.33620324963697,21 years,POP,Family
B01001_010,100.50136745010587,91.72208060991346,110.00635276875185,115.81203384397081,87.43543470235822,183.5064988667681,152.96876444849298,22 to 24 years,POP,Family
B01001_011,103.35224993573597,95.4733162771895,107.65575914072167,108.85018490204689,99.19026470177775,229.64387925278083,190.440097886623,25 to 29 years,POP,Family
B01001_012,104.74742893363013,100.31272624916599,118.53969320229254,107.57490284579904,100.61812513997978,193.65102038176906,165.88708161454755,30 to 34 years,POP,Family
B01001_013,105.72400924835459,102.0165773935011,121.03685418478631,105.5021295470677,101.45721078349108,135.95739462486185,114.86192101616875,35 to 39 years,POP,Family
B01001_014,108.03272902766406,100.45271429940456,114.38642473893772,108.82123748827152,94.83688175792247,102.50259447421853,94.90500626364421,40 to 44 years,POP,Family
B01001_015,106.15584761207779,99.37220659629337,102.76972009174652,103.79735119585014,95.45271703552125,88.58251867840076,84.470470792023,45 to 49 years,POP,Family
B01001_016,108.22841856842267,100.94086689762862,87.87767941395033,98.31424789769507,99.99164651464534,72.52105683431928,85.86016902027667,50 to 54 years,POP,Family
B01001_017,105.65447203600257,103.31763758443925,74.8889666098205,85.45864064172449,105.37591001029728,64.3337935308383,94.33678646238276,55 to 59 years,POP,Family
B01001_018,103.2214965808511,103.3084803194242,66.93733618670723,80.52234114240314,108.40587143747736,56.023940833791166,96.17064088786708,60 and 61 years,POP,Family
B01001_019,99.05630513434018,102.10454831456546,64.37600104916373,75.14176930549404,111.37930726380738,54.8597963896045,99.49650586072084,62 to 64 years,POP,Family
B01001_020,97.40672784313132,103.11763456722869,60.53065641015388,69.52539209782427,109.1582870840889,52.31182029400574,106.53972818227808,65 and 66 years,POP,Family
B01001_021,91.77751592796743,103.8310089817039,61.402174208008844,66.1329933269294,107.84372077237148,47.28637618679824,102.54061497947416,67 to 69 years,POP,Family
B01001_022,84.00710430657767,101.40581467076441,55.45979842218471,61.47327144698787,107.54883425599087,44.37479097484964,110.2170269189445,70 to 74 years,POP,Family
B01001_023,85.23416534806184,98.86036394840944,51.458340683743344,63.4838084007341,111.21417757449879,41.1597173961348,116.65826717945092,75 to 79 years,POP,Family
B01001_024,91.84249131506469,91.43367731742447,45.706721828260285,64.10633982720077,123.36604844131733,42.01224199962201,159.78109741989675,80 to 84 years,POP,Family
B01001_025,98.25535194771142,84.46317883385905,38.799365746670325,60.64580566641169,128.88009026132602,44.83982097861421,252.2218268824086,85 years and over,POP,Family
B01001_027,95.14928896815942,100.5603468342139,131.43094385778844,119.58476849529876,94.73777349273132,107.38436583696898,50.0036321811152,Under 5 years,POP,Family
B01001_028,93.89742918806567,102.46692029196069,133.15586866902814,122.99389083643734,94.14447799943744,78.14851327758942,33.97878120494432,5 to 9 years,POP,Family
B01001_029,98.28867005900402,102.04097507549506,131.1907593910525,128.7441923271593,93.91965273777166,60.13259292969373,27.97086894457148,10 to 14 years,POP,Family
B01001_030,100.80797447278213,105.61864104157111,122.87953450243272,130.61153135276055,96.2053299588765,54.953027099255195,31.196693356799805,15 to 17 years,POP,Family
B01001_031,94.35877753849226,90.7040604632055,99.44170255852502,117.27356264205152,92.1548413624418,72.70289200866988,77.0414285569386,18 and 19 years,POP,Family
B01001_032,88.78963625626525,86.26345919682453,107.59761844176975,108.1343610626559,86.26947406279153,113.44761304743143,105.32454615717286,20 years,POP,Family
B01001_033,94.94925952496925,85.0768483648562,97.43774165545534,116.57216650801439,81.99417332899944,140.07177899202497,122.19089014009852,21 years,POP,Family
B01001_034,100.0005094573595,89.33153186001395,97.16389192736139,109.0507951212935,79.85980727056554,218.97009715680196,169.58276667055327,22 to 24 years,POP,Family
B01001_035,98.0999566680569,94.47124021572155,109.08230733144413,104.07765123667775,92.30606234118581,234.60764715150853,185.47766198059924,25 to 29 years,POP,Family
B01001_036,99.54356665434015,100.48181858589751,121.80573068005734,101.00675705897714,99.94651257831991,177.31209949438863,136.34832337938732,30 to 34 years,POP,Family
B01001_037,102.87432610797947,102.08032846129377,123.85119447708821,101.19753622899958,99.74127970022691,123.49525327494015,89.60184235462637,35 to 39 years,POP,Family
B01001_038,104.10570855320415,101.31831890420149,117.21261340666409,104.61052319112547,93.97703885072623,99.04404513347804,73.74535745783533,40 to 44 years,POP,Family
B01001_039,106.97857877891215,100.98319123380422,101.57934458311864,99.38495038976843,93.65791562649518,85.4388576889544,72.50571148063926,45 to 49 years,POP,Family
