GEOID,cluster
021800001005,6
021800001006,1
021800002001,9
021800002002,9
021800002003,5
021800002004,1
021850001001,1
021850001002,1
021850002001,1
021850002002,1
021850002003,1
021880001001,6
021880001002,1
021880001003,1
021880001004,6
021880001005,1
021880002001,1
021880002002,1
021880002003,9
021880002004,1
021950002001,1
021950002002,1
021950002003,1
021950002004,9
021980001001,1
021980001002,1
021980001003,1
021980002001,1
021980002002,1
021980002003,1
021989401001,1
021989401002,1
021989401003,1
022200001001,3
022200001002,9
022200001003,9
022200001004,1
022200001005,9
022200002001,9
022200002002,1
022200002003,1
022200002004,1
022200002005,5
022200002006,10
022300001001,1
022400001001,1
022400001002,1
022400004001,7
022400004002,1
022400004003,7
022400004004,5
022610001001,1
022610001002,9
022610001003,1
022610001004,1
022610002001,1
022610002002,3
022610003001,5
022610003002,4
022610003003,1
022610003004,9
022610003005,9
022750003001,1
022750003002,1
022750003003,1
022750003004,1
022820001001,1
022900001001,1
022900001002,1
022900002001,1
022900002002,1
022900003001,1
022900003002,1
022900003003,1
022900004001,6
022900004002,1
010399620002,1
010399618002,1
010399616004,7
010399616002,7
010399616001,7
010399625001,1
010399627002,2
010399628001,7
010399628002,7
010399619002,7
010399623003,7
010730039001,2
010730108021,3
010730112051,7
010730005003,2
010730005001,2
010690406002,2
010719507002,4
010719507001,7
010719507004,1
010719507003,7
010719511004,7
010719511002,7
010719511001,7
010719511003,7
010719502003,1
010719502004,1
010719502001,1
011010033024,8
011010033023,3
011010061002,2
011010002001,5
011010007001,2
010890021002,2
010890021001,5
010890102001,4
010890102002,4
010890104011,7
010279592003,7
010279589004,1
010279589003,1
010279589001,7
010279589002,7
011030052001,7
011030002002,8
011030002001,8
011030002003,3
011030010001,7
011030010002,8
011030055003,7
011030055002,7
011030055004,7
010730142032,4
010730142031,4
010730143021,9
010730117041,7
010730123022,7
010890104021,7
010890107023,4
010890110141,3
010890110142,3
010890005022,2
010890007022,5
010890012003,2
010890012002,5
010550003003,2
010550004004,8
010730053022,8
010730053021,8
010830204021,7
010830204022,7
010730136011,2
010730136012,2
010730136015,2
010770112002,7
010770112003,7
010770114003,7
010770114001,7
010770114002,7
010770115015,4
010770115014,9
010770109003,9
010770109001,8
010770109005,5
010690409001,7
010690409002,7
010690417001,7
010690404002,8
010690404001,8
010690402011,9
010690402023,9
010690402022,4
010690412001,2
010730104011,2
010730104013,2
010730104015,2
010730107062,5
010730107061,8
010730108013,3
010730108012,3
010730108011,9
010730108031,9
010730108035,4
010730117061,7
010830206002,6
010830206001,1
010830207001,5
010690406003,2
010730027002,5
010830211003,7
010830211004,7
010830208012,7
010810420021,9
010810419002,7
010810419001,4
010810419003,7
010810419004,7
010810414001,2
010810414003,2
010810414002,2
010810414004,2
010810417004,7
010810417001,4
010810417002,7
010810417003,4
010810406022,2
010810406021,9
010810416001,5
011150405011,7
011150403002,7
011150403003,7
011150402011,7
011150402013,7
011150402014,7
011150405023,7
011150402031,1
011150402033,7
011250101021,7
011250101022,4
011250104071,5
011250104072,9
011250106012,7
011250108041,7
011250123052,4
011250124042,2
011270201004,7
011270201003,2
011270201001,1
011270202003,7
011270202001,7
011270206002,7
011270211003,7
011270211002,7
011270211001,7
011270212001,7
011270212002,7
011010010001,2
011010012002,2
011010012003,2
011010013002,2
011010013001,1
011010031001,2
011010031003,2
011010051011,7
011010051012,2
011010054063,4
011010056043,4
011010058001,7
011010058002,7
011010001001,5
010830208013,7
010830208011,4
010719501001,7
010719501003,7
010719501002,7
010719510004,7
010719510001,7
010719510002,7
010719510003,7
010719505001,7
010719505002,7
010719508004,1
010719508002,1
010719509004,4
010719504001,7
010719504002,7
011210116003,7
010730141042,2
010730141041,7
010730023033,5
010730023034,2
010730001004,2
010730001001,2
010730001005,2
010730001002,2
010730127014,8
010730122001,7
010770110002,1
010770110005,2
010770115022,7
010770115021,7
010510312002,7
010510310001,7
010510311001,4
010510311003,8
010690408003,7
010690408004,7
010690414001,2
011250124041,5
011250102023,9
011250102021,4
011250104061,3
011250104062,3
011250105001,2
010730024001,2
010730024002,5
010970060003,7
010970060001,1
010970060002,7
010970064031,7
010970004011,2
010970004014,2
010970004013,2
010970004012,2
010970005001,2
010970005002,2
010970019011,2
010970019012,7
010970019023,8
010970019022,8
011010023004,2
011010023003,2
011010023002,2
011010024001,2
011010024004,2
011010032006,2
011010032005,8
011010032002,5
011210109002,1
011210112002,7
011210114002,7
011210118001,2
011210104001,7
011210104002,7
011210106002,2
011210120001,1
010399623002,7
010399629002,7
010399629001,7
010399621001,2
010399621002,1
010419638001,7
011250101034,7
011250101031,7
011250101032,7
011250101033,7
011250104051,4
011250104052,9
011250124032,9
011250124031,9
011250108032,9
011250116002,2
010730134003,2
011210119002,8
011210110001,1
010730106024,2
010730106025,8
010730106021,2
010970020001,2
010970020002,4
010970022001,2
010970032022,8
010970032021,5
010970034081,2
