UniqueID,V1,V2,V3,V4,V5,V6,V7,Stub,CONCEPT,DOMAIN
B01001_003,108.69021228634399,74.01926097139122,88.9202772953257,96.35423377305972,90.6185909516188,111.78837091139297,126.93118395892358,Under 5 years,POP,Family
B01001_004,109.3082179662212,50.233804363895565,94.37427522947542,110.16235868030189,85.66335790496287,109.25162604361691,117.21887591609791,5 to 9 years,POP,Family
B01001_005,110.99578837110131,40.270799921185315,97.6396526828118,119.01852430790257,84.74832871412356,105.3547276454056,106.3526023841018,10 to 14 years,POP,Family
B01001_006,110.7256951066829,38.345914979166636,101.13125062119809,122.08451923692361,86.19944624938282,102.60757235149846,98.03387553200268,15 to 17 years,POP,Family
B01001_007,103.39640713635347,185.66265073057127,85.93017298944982,91.65398562785744,81.50293757258135,114.15900207264151,103.64558570468483,18 and 19 years,POP,Family
B01001_008,103.6246891107929,210.72349714181144,80.87955145224797,75.18972776500648,85.57987754948383,117.62700354473638,115.53090038958416,20 years,POP,Family
B01001_009,101.953218764765,206.4443920283388,78.97208693996191,71.15270459103904,88.04203217106881,119.19667685740616,123.5897642410582,21 years,POP,Family
B01001_010,100.45525919405327,195.83387562229368,80.41051684517372,71.1165745082982,95.53158683307103,110.59328401788066,125.46193226209799,22 to 24 years,POP,Family
B01001_011,102.24724837206321,209.28147532131106,79.08343542632392,60.381982842101046,102.06180756522072,107.52332035502631,129.09459231902267,25 to 29 years,POP,Family
B01001_012,106.23061799971005,180.58963617617755,82.15976287536725,73.74198869872892,103.55808474919618,98.209151098173,119.35069537394547,30 to 34 years,POP,Family
B01001_013,107.20313083760308,127.73067974608452,88.57996576352132,96.31707952301475,101.64443142717316,93.95852854824928,105.34337903703516,35 to 39 years,POP,Family
B01001_014,105.1636097540883,95.77171577980015,93.83586019959672,111.38751672170528,97.76794022662104,91.97954685967625,98.86009070020359,40 to 44 years,POP,Family
B01001_015,101.29817461317023,81.90129187691583,100.98012784628352,119.05060867651275,98.24539674580095,88.64842686976141,89.50754008486778,45 to 49 years,POP,Family
B01001_016,98.69776015595143,73.53342767524178,109.32092683315335,117.58270021822538,97.76528618881312,89.95648159124644,85.12655664285325,50 to 54 years,POP,Family
B01001_017,94.8796852934199,68.69388327350023,117.45647680900437,114.2106148453173,100.02109360748794,92.43634525963603,78.83259569905559,55 to 59 years,POP,Family
B01001_018,92.43631316936657,65.16065063058952,122.95313730603392,110.2072247585766,100.88754838248268,95.71761527121039,76.58663395368629,60 and 61 years,POP,Family
B01001_019,90.44359254804635,65.00234391266764,127.49949619977315,108.76477628741404,102.32449664584098,95.33472600052299,72.4312486003571,62 to 64 years,POP,Family
B01001_020,88.32291084395767,64.69146918235396,131.20738088384104,108.1770508551849,105.57936322629224,90.72466285952184,69.82551819004979,65 and 66 years,POP,Family
B01001_021,87.01904949624422,60.876245401267084,134.1012904653403,110.77336340092143,107.56497004940253,87.88501458862032,64.53596717148142,67 to 69 years,POP,Family
B01001_022,82.95061433851507,60.616267531499815,138.81121636408858,110.58563476250572,111.73300455488477,82.64559700457303,61.29521360569478,70 to 74 years,POP,Family
B01001_023,82.49732566331802,59.232089708938105,144.36787881677117,103.73863720938263,113.28767243856781,82.85345136815924,61.784549236823295,75 to 79 years,POP,Family
B01001_024,82.28314673158177,67.07028280549427,140.39945033238965,96.06651917197952,122.4138839187237,83.26176205898032,63.04358143791329,80 to 84 years,POP,Family
B01001_025,80.13130753964782,87.1390699786891,118.59827356758174,86.05562872681793,143.6809847696873,88.91578291792769,70.38992455712552,85 years and over,POP,Family
B01001_027,108.60729220106415,75.11034397246887,88.21206103193614,95.33490810768977,90.42183913319256,113.39880460079262,127.9581248694098,Under 5 years,POP,Family
B01001_028,109.81103772889715,50.52969041631269,92.79665978745749,110.45138048878927,86.72336135158054,109.55792168739656,116.76624641370799,5 to 9 years,POP,Family
B01001_029,110.91135468298567,39.84299973468753,97.11833507679545,118.7816321745646,84.60562550642581,106.03440983473507,107.38925233412222,10 to 14 years,POP,Family
B01001_030,111.25807629668587,39.62517659667356,99.07249864152318,122.83955645114509,85.56695068934718,102.19632213777226,100.13513464480238,15 to 17 years,POP,Family
B01001_031,97.92977122299936,233.0460365216876,76.92189020556702,86.55132592451726,83.40124264560595,115.06055501639143,106.18930318936275,18 and 19 years,POP,Family
B01001_032,94.97936833106698,249.88379709566337,74.82975350589497,71.14160689155902,86.02967577313501,118.91074945683383,121.01371463982196,20 years,POP,Family
B01001_033,94.17012752196962,240.4716015484724,74.3894962394265,67.36196444594839,86.44782348198491,119.55544142045827,131.46842737822172,21 years,POP,Family
B01001_034,94.52120249555493,209.91868259043426,75.11313116292523,68.5886949895981,98.60770059634982,111.39573589130585,132.75990352646187,22 to 24 years,POP,Family
B01001_035,99.47337271710828,209.58962619807608,76.4666062382734,60.27782439606197,102.80724297269104,108.37419323278712,134.53041062763867,25 to 29 years,POP,Family
B01001_036,104.91830607805652,163.43943921280498,79.59808456686832,80.33959686229817,103.64237368227012,101.92631924642299,119.34415150110367,30 to 34 years,POP,Family
B01001_037,106.35395047567195,110.25904904490473,85.56859353206787,103.02843766964452,101.14078934748092,96.85740876858989,107.03649844618448,35 to 39 years,POP,Family
B01001_038,104.5332097080528,84.45115132222043,90.7136641787068,114.63571602102283,98.8956690361695,93.75024368210897,101.59362475580139,40 to 44 years,POP,Family
B01001_039,100.59349177903374,73.66341857377904,97.40473809282565,120.74885478900418,99.72479145475924,90.60104024719887,93.27724378035582,45 to 49 years,POP,Family
